task,target,model,n_train,n_test,mae,rmse,r2
问题一_空间时滞温度预测,14#风箱平均温度,global_lag_RandomForest,1937,485,31.268402833392408,40.08545578688658,0.4727133140813208
问题一_空间时滞温度预测,14#风箱平均温度,state_neighbor_lag_Ridge,1937,485,16.224385091108783,21.61242506177907,0.8467218838191213
问题一_空间时滞温度预测,14#风箱平均温度,state_neighbor_lag_GradientBoosting,1937,485,15.223858205667096,19.32293855974146,0.8774764703926483
问题一_空间时滞温度预测,14#风箱平均温度,state_neighbor_lag_RandomForest,1937,485,15.340385289153737,19.467609008961198,0.8756349399887332
问题一_空间时滞温度预测,15#风箱平均温度,local_lag_Ridge,1937,485,21.531100412223363,31.80897268980262,0.13324369797557623
问题一_空间时滞温度预测,15#风箱平均温度,local_lag_GradientBoosting,1937,485,19.926445866376046,26.91783868169206,0.37930521908341797
问题一_空间时滞温度预测,15#风箱平均温度,local_lag_RandomForest,1937,485,20.882113783966027,28.77526022554457,0.2906897412030184
问题一_空间时滞温度预测,15#风箱平均温度,neighbor_lag_Ridge,1937,485,23.08815175532651,32.11872504875392,0.11628074694983759
问题一_空间时滞温度预测,15#风箱平均温度,neighbor_lag_GradientBoosting,1937,485,19.708335679899427,27.170698028243045,0.36758914888490024
问题一_空间时滞温度预测,15#风箱平均温度,neighbor_lag_RandomForest,1937,485,19.555222391160225,27.597801763272706,0.34755079990482096
问题一_空间时滞温度预测,15#风箱平均温度,global_lag_Ridge,1937,485,34.83575938641663,75.65708774372096,-3.903395922827211
问题一_空间时滞温度预测,15#风箱平均温度,global_lag_GradientBoosting,1937,485,17.706352667173242,24.722530560693304,0.476419376033019
问题一_空间时滞温度预测,15#风箱平均温度,global_lag_RandomForest,1937,485,18.67134221461594,27.089421326575458,0.37136699737993684
问题一_空间时滞温度预测,15#风箱平均温度,state_neighbor_lag_Ridge,1937,485,7.124253721690179,9.96863559760798,0.9148726404312859
问题一_空间时滞温度预测,15#风箱平均温度,state_neighbor_lag_GradientBoosting,1937,485,8.064492757291779,12.711140899114149,0.8615902172276365
问题一_空间时滞温度预测,15#风箱平均温度,state_neighbor_lag_RandomForest,1937,485,8.357120557249061,13.169117013178182,0.851436872087223
问题一_空间时滞温度预测,16#风箱平均温度,local_lag_Ridge,1937,485,15.199313986214491,25.248632580282084,0.07869980618173666
问题一_空间时滞温度预测,16#风箱平均温度,local_lag_GradientBoosting,1937,485,14.431227704961424,22.108030001755495,0.29364092677460474
问题一_空间时滞温度预测,16#风箱平均温度,local_lag_RandomForest,1937,485,14.66254492285992,22.69985450892355,0.2553167510394284
问题一_空间时滞温度预测,16#风箱平均温度,neighbor_lag_Ridge,1937,485,15.249223035877655,24.817431337673753,0.10989939645533875
问题一_空间时滞温度预测,16#风箱平均温度,neighbor_lag_GradientBoosting,1937,485,14.568613069426444,22.32400603742833,0.2797724993716447
问题一_空间时滞温度预测,16#风箱平均温度,neighbor_lag_RandomForest,1937,485,14.722505135351856,22.757316508702957,0.25154182386209456
问题一_空间时滞温度预测,16#风箱平均温度,global_lag_Ridge,1937,485,19.67527365628685,34.95115158234838,-0.7654215220999583
问题一_空间时滞温度预测,16#风箱平均温度,global_lag_GradientBoosting,1937,485,13.474164152263908,21.049740024016568,0.35964779342782116
问题一_空间时滞温度预测,16#风箱平均温度,global_lag_RandomForest,1937,485,13.965628833224361,22.252411342747095,0.2843847345091409
问题一_空间时滞温度预测,16#风箱平均温度,state_neighbor_lag_Ridge,1937,485,6.373441427861272,10.47591885351326,0.8413976240592047
问题一_空间时滞温度预测,16#风箱平均温度,state_neighbor_lag_GradientBoosting,1937,485,7.264071255014005,14.203084071075581,0.7084649651564996
问题一_空间时滞温度预测,16#风箱平均温度,state_neighbor_lag_RandomForest,1937,485,7.5614303952337725,14.478971054185795,0.6970291556142472
问题一_空间时滞温度预测,17#风箱平均温度,local_lag_Ridge,1937,485,16.05869519161179,26.96820891682064,0.0016229606005512265
问题一_空间时滞温度预测,17#风箱平均温度,local_lag_GradientBoosting,1937,485,15.115307626509804,23.788197645894012,0.223192422754789
问题一_空间时滞温度预测,17#风箱平均温度,local_lag_RandomForest,1937,485,14.871570650224582,24.080979928247384,0.2039530399973578
问题一_空间时滞温度预测,17#风箱平均温度,neighbor_lag_Ridge,1937,485,15.979205139358623,26.46730599080382,0.03836590402023954
问题一_空间时滞温度预测,17#风箱平均温度,neighbor_lag_GradientBoosting,1937,485,14.802023281146726,23.178353269785617,0.2625110247723792
问题一_空间时滞温度预测,17#风箱平均温度,neighbor_lag_RandomForest,1937,485,14.468585958471042,23.514710835811375,0.24095126327667393
问题一_空间时滞温度预测,17#风箱平均温度,global_lag_Ridge,1937,485,18.534006639623943,29.575986607260642,-0.20079496597832946
问题一_空间时滞温度预测,17#风箱平均温度,global_lag_GradientBoosting,1937,485,14.514886923733092,22.249431972815803,0.3204393350477508
问题一_空间时滞温度预测,17#风箱平均温度,global_lag_RandomForest,1937,485,14.199142121455724,22.68241050346897,0.2937332045576818
问题一_空间时滞温度预测,17#风箱平均温度,state_neighbor_lag_Ridge,1937,485,6.924500301161783,12.458534073265158,0.7869290386505083
问题一_空间时滞温度预测,17#风箱平均温度,state_neighbor_lag_GradientBoosting,1937,485,7.935666574327171,16.940380720012758,0.6060539867723396
